GameID,PlayerID,PlayerName,TeamAbbreviation,Agent,ACS,Kills,Deaths,Assists,PlusMinus,KAST_Percent,ADR,HS_Percent,FirstKills,FirstDeaths,FKFD_PlusMinus,Num_2Ks,Num_3Ks,Num_4Ks,Num_5Ks,OnevOne,OnevTwo,OnevThree,OnevFour,OnevFive,Econ,Plants,Defuses
60894,8419,Reduxx,Boos,jett,313,24,10,3,14,0.65,195,0.31,4,4,0,2,2,2,0,1,0,0,0,0,74,0,0
60894,466,ChurmZ,Boos,chamber,227,16,10,7,6,0.9,161,0.16,1,1,0,3,1,0,0,0,0,0,0,0,67,2,0
60894,3712,diaamond,Boos,sova,226,17,9,8,8,0.85,148,0.27,3,0,3,1,2,0,0,1,0,0,0,0,58,3,0
60894,5099,Boltzy,Boos,viper,218,17,12,2,5,0.7,141,0.19,3,0,3,3,1,0,0,1,0,0,0,0,48,0,0
60894,3983,Virtyy,Boos,skye,80,5,13,3,-8,0.7,55,0.22,3,1,2,1,0,0,0,0,0,0,0,0,21,0,0
60894,16757,Cohburg,Pho,astra,229,15,16,5,-1,0.55,155,0.31,1,2,-1,3,2,0,0,0,0,0,0,0,62,1,0
60894,19293,evaD,Pho,sova,203,12,14,6,-2,0.65,151,0.22,0,0,0,1,1,0,0,0,1,0,0,0,73,1,0
60894,19291,Bobovo,Pho,chamber,173,12,16,2,-4,0.7,103,0.18,1,3,-2,2,0,0,0,0,0,0,0,0,42,0,0
60894,1080,Dopai,Pho,skye,125,9,15,1,-6,0.5,94,0.36,1,3,-2,0,0,1,0,0,0,0,0,0,42,0,0
60894,21542,Zento,Pho,viper,89,6,18,3,-12,0.45,57,0.22,3,6,-3,1,0,0,0,0,0,0,0,0,21,2,0
60895,3712,diaamond,Boos,sova,221,11,15,2,-4,0.47,133,0.31,0,2,-2,2,1,0,0,0,0,0,0,0,55,0,0
60895,3983,Virtyy,Boos,raze,169,8,14,3,-6,0.47,107,0.16,4,1,3,0,1,0,0,0,0,0,0,0,46,0,0
60895,5099,Boltzy,Boos,astra,149,8,12,0,-4,0.53,96,0.41,1,2,-1,2,0,0,0,0,0,0,0,0,43,0,1
60895,466,ChurmZ,Boos,chamber,148,6,15,4,-9,0.6,105,0.23,0,1,-1,1,0,0,0,0,0,0,0,0,42,0,0
60895,8419,Reduxx,Boos,skye,94,5,13,0,-8,0.4,54,0.33,0,4,-4,1,1,0,0,0,0,0,0,0,23,0,0
60895,1080,Dopai,Pho,raze,336,18,9,4,9,0.8,210,0.23,4,1,3,3,2,0,0,0,0,0,0,0,89,3,0
60895,19291,Bobovo,Pho,skye,310,20,8,5,12,0.87,188,0.18,2,2,0,0,4,0,0,0,0,0,0,0,80,2,0
60895,16757,Cohburg,Pho,viper,261,14,8,7,6,0.93,157,0.27,3,0,3,3,1,0,0,0,0,0,0,0,71,0,0
60895,19293,evaD,Pho,astra,160,10,4,11,6,1.0,100,0.19,1,0,1,1,0,0,0,0,0,0,0,0,67,1,0
60895,21542,Zento,Pho,sage,126,7,9,6,-2,0.8,98,0.21,0,2,-2,2,0,0,0,1,0,0,0,0,37,5,0
60896,8419,Reduxx,Boos,jett,339,25,14,5,11,0.86,225,0.33,4,4,0,4,2,1,0,0,0,0,0,0,105,0,0
60896,466,ChurmZ,Boos,chamber,192,16,14,1,2,0.57,138,0.37,2,2,0,6,0,0,0,1,0,0,0,0,61,2,2
